,EmployeeNumber,Age,Attrition,Department,Education,EducationField,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MonthlyIncome,RelationshipSatisfaction,YearsAtCompany,YearsInCurrentRole,YearsWithCurrManager
58,76,31,No,Research & Development,4,Life Sciences,4,Male,3,2,Laboratory Technician,4,5915,4,7,7,7
59,77,37,No,Research & Development,4,Life Sciences,1,Male,2,2,Manufacturing Director,3,5993,3,7,5,7
60,78,32,No,Research & Development,3,Medical,1,Male,3,2,Manufacturing Director,4,6162,2,9,8,8
61,79,38,No,Research & Development,5,Life Sciences,4,Female,3,2,Laboratory Technician,4,2406,4,10,3,9
62,80,50,No,Research & Development,2,Medical,2,Female,2,5,Research Director,3,18740,4,27,3,8
63,81,59,No,Sales,3,Life Sciences,1,Female,3,3,Sales Executive,1,7637,4,21,16,9
64,83,36,No,Research & Development,3,Technical Degree,3,Female,3,3,Healthcare Representative,3,10096,2,17,14,8
65,84,55,No,Research & Development,3,Medical,4,Female,3,4,Manager,3,14756,3,5,0,2
66,85,36,No,Research & Development,3,Life Sciences,2,Male,2,2,Manufacturing Director,2,6499,3,6,5,3
67,86,45,No,Research & Development,3,Life Sciences,2,Male,3,3,Research Scientist,1,9724,3,1,0,0
68,88,35,No,Research & Development,3,Medical,2,Male,3,1,Research Scientist,1,2194,4,3,2,2
69,90,36,Yes,Research & Development,3,Medical,4,Male,2,1,Research Scientist,3,3388,1,1,0,0
70,91,59,No,Sales,1,Life Sciences,1,Female,2,2,Sales Executive,3,5473,4,4,3,3
71,94,29,No,Research & Development,3,Life Sciences,3,Male,3,1,Research Scientist,2,2703,4,5,4,4
72,95,31,No,Research & Development,4,Medical,3,Male,3,1,Research Scientist,2,2501,2,1,1,0
73,96,32,No,Research & Development,3,Life Sciences,2,Male,3,2,Research Scientist,2,6220,2,10,4,9
74,97,36,No,Research & Development,3,Life Sciences,2,Female,4,1,Laboratory Technician,4,3038,2,1,0,0
75,98,31,No,Research & Development,4,Life Sciences,3,Female,3,2,Manufacturing Director,4,4424,4,11,7,8
76,100,35,No,Sales,4,Marketing,3,Male,2,2,Sales Executive,1,4312,2,15,13,8
77,101,45,No,Research & Development,4,Other,4,Male,3,3,Research Director,1,13245,2,0,0,0
78,102,37,No,Research & Development,4,Medical,1,Male,3,3,Research Director,3,13664,1,5,2,2
79,103,46,No,Human Resources,2,Medical,2,Male,3,2,Human Resources,2,5021,4,4,2,2
80,104,30,No,Research & Development,1,Life Sciences,4,Male,2,2,Laboratory Technician,4,5126,3,10,8,0
81,105,35,No,Research & Development,3,Medical,2,Male,2,1,Research Scientist,3,2859,1,6,4,4
82,106,55,No,Sales,2,Life Sciences,1,Male,3,3,Sales Executive,4,10239,4,1,0,0
83,107,38,No,Research & Development,3,Medical,2,Female,1,2,Research Scientist,4,5329,4,13,11,9
84,110,34,No,Research & Development,2,Medical,1,Male,3,2,Manufacturing Director,2,4325,3,5,2,3
85,112,56,No,Research & Development,3,Life Sciences,4,Male,1,3,Manufacturing Director,4,7260,1,6,4,2
86,113,23,No,Sales,1,Technical Degree,3,Male,3,1,Sales Representative,1,2322,3,0,0,0
87,116,51,No,Research & Development,4,Life Sciences,4,Male,3,1,Laboratory Technician,4,2075,2,4,2,3
88,117,30,No,Research & Development,3,Life Sciences,3,Male,2,2,Healthcare Representative,4,4152,1,11,10,8
89,118,46,Yes,Sales,2,Medical,3,Male,2,3,Sales Executive,4,9619,4,9,8,7
90,119,40,No,Research & Development,4,Life Sciences,3,Male,2,4,Healthcare Representative,2,13503,4,22,3,11
91,120,51,No,Sales,4,Marketing,3,Male,3,2,Sales Executive,4,5441,4,10,7,0
92,121,30,No,Sales,2,Medical,3,Female,2,2,Sales Executive,2,5209,2,11,8,7
93,124,46,No,Research & Development,3,Medical,3,Male,2,3,Healthcare Representative,1,10673,3,10,9,5
94,125,32,No,Sales,4,Medical,2,Male,3,2,Sales Executive,3,5010,1,11,8,7
95,126,54,No,Research & Development,4,Technical Degree,1,Female,3,3,Research Director,3,13549,1,4,3,3
96,128,24,No,Sales,2,Other,1,Female,3,2,Sales Executive,3,4999,1,3,2,2
97,129,28,No,Sales,3,Medical,2,Male,3,2,Sales Executive,3,4221,2,5,4,4
98,131,58,No,Sales,4,Medical,4,Male,3,4,Sales Executive,3,13872,3,37,10,8
99,132,44,No,Research & Development,3,Medical,2,Male,3,2,Laboratory Technician,2,2042,3,3,2,2
100,133,37,Yes,Human Resources,4,Human Resources,3,Male,3,1,Human Resources,1,2073,4,3,2,2
101,134,32,No,Research & Development,1,Life Sciences,4,Male,3,1,Research Scientist,1,2956,4,1,0,0
102,137,20,Yes,Research & Development,3,Life Sciences,4,Female,2,1,Laboratory Technician,4,2926,2,1,0,0
103,138,34,No,Research & Development,4,Other,1,Female,3,2,Research Scientist,3,4809,3,16,13,10
104,139,37,No,Research & Development,2,Life Sciences,3,Male,2,2,Healthcare Representative,4,5163,4,1,0,0
105,140,59,No,Human Resources,4,Human Resources,3,Female,2,5,Manager,4,18844,4,3,2,2
106,141,50,No,Research & Development,3,Life Sciences,1,Female,3,5,Research Director,2,18172,1,8,3,7
107,142,25,Yes,Sales,3,Marketing,3,Male,2,2,Sales Executive,3,5744,4,6,4,3
108,143,25,No,Research & Development,1,Medical,4,Male,2,1,Research Scientist,4,2889,3,2,2,1
109,144,22,No,Research & Development,3,Medical,2,Female,3,1,Laboratory Technician,4,2871,3,0,0,0
110,145,51,No,Research & Development,4,Medical,1,Female,2,3,Healthcare Representative,1,7484,3,13,12,8
111,147,34,Yes,Research & Development,3,Life Sciences,1,Male,1,2,Laboratory Technician,3,6074,4,9,7,6
112,148,54,No,Human Resources,3,Human Resources,4,Female,4,4,Manager,4,17328,3,5,3,4
113,150,24,No,Research & Development,1,Life Sciences,2,Male,3,1,Laboratory Technician,3,2774,3,5,3,2
114,151,34,No,Research & Development,4,Life Sciences,3,Female,2,2,Research Scientist,2,4505,3,1,0,0
115,152,37,No,Sales,3,Life Sciences,3,Male,3,3,Sales Executive,4,7428,1,5,3,3
116,153,34,No,Research & Development,3,Medical,3,Female,2,3,Manager,1,11631,4,11,10,8
117,154,36,No,Sales,2,Technical Degree,2,Female,3,3,Sales Executive,4,9738,3,9,7,8
118,155,36,No,Research & Development,2,Life Sciences,1,Female,3,1,Laboratory Technician,4,2835,1,1,0,0
119,158,43,No,Sales,2,Life Sciences,3,Male,3,4,Manager,4,16959,4,25,12,12
120,159,30,No,Research & Development,3,Life Sciences,1,Male,1,1,Research Scientist,3,2613,3,10,7,9
121,160,33,No,Sales,2,Marketing,3,Male,3,2,Sales Executive,2,6146,1,7,7,7
122,161,56,Yes,Research & Development,4,Life Sciences,2,Female,3,1,Research Scientist,2,4963,1,5,4,3
123,162,51,No,Research & Development,3,Life Sciences,1,Male,3,5,Research Director,3,19537,3,20,18,15
124,163,31,Yes,Sales,4,Life Sciences,2,Male,1,2,Sales Executive,3,6172,2,7,7,7
125,164,26,No,Research & Development,3,Other,3,Female,2,1,Research Scientist,2,2368,3,5,4,3
126,165,58,Yes,Research & Development,4,Medical,4,Female,3,3,Healthcare Representative,4,10312,4,40,10,6
127,167,19,Yes,Sales,1,Marketing,4,Male,3,1,Sales Representative,3,1675,4,0,0,0
128,169,22,No,Research & Development,1,Technical Degree,3,Male,3,1,Laboratory Technician,4,2523,3,2,1,1
129,170,49,No,Research & Development,4,Medical,3,Female,3,2,Manufacturing Director,1,6567,3,15,11,11
130,171,43,No,Research & Development,3,Medical,2,Female,4,1,Research Scientist,3,4739,4,3,2,2
131,174,50,No,Sales,3,Marketing,3,Female,3,3,Sales Executive,4,9208,4,2,2,1
132,175,31,Yes,Sales,3,Life Sciences,2,Female,1,2,Sales Executive,3,4559,3,2,2,2
133,176,41,No,Sales,1,Life Sciences,3,Male,3,3,Sales Executive,3,8189,3,9,7,7
134,177,26,No,Human Resources,1,Life Sciences,3,Female,3,1,Human Resources,3,2942,4,8,7,7
135,178,36,No,Research & Development,2,Medical,2,Male,3,2,Manufacturing Director,2,4941,4,3,2,1
136,179,51,Yes,Research & Development,4,Life Sciences,1,Male,1,3,Manufacturing Director,4,10650,4,4,2,3
137,182,39,No,Sales,4,Life Sciences,4,Female,2,2,Sales Executive,3,5902,3,15,11,9
138,183,25,No,Sales,3,Life Sciences,1,Male,2,2,Sales Executive,3,8639,4,2,2,2
139,184,30,No,Human Resources,3,Human Resources,3,Male,3,2,Human Resources,4,6347,4,11,9,7
140,190,32,Yes,Research & Development,3,Medical,1,Female,3,1,Laboratory Technician,1,4200,1,5,4,4
141,192,45,No,Research & Development,3,Medical,3,Male,3,1,Research Scientist,4,3452,2,6,5,3
142,193,38,No,Research & Development,5,Technical Degree,4,Female,3,2,Research Scientist,3,4317,2,3,2,2
143,194,30,No,Research & Development,3,Life Sciences,1,Female,3,1,Research Scientist,3,2632,3,5,4,4
144,195,32,No,Sales,2,Medical,4,Male,1,2,Sales Executive,4,4668,4,8,7,7
145,197,30,No,Research & Development,3,Technical Degree,4,Female,3,1,Research Scientist,1,3204,4,3,2,2
146,198,30,No,Research & Development,1,Medical,2,Male,2,1,Laboratory Technician,4,2720,4,5,3,2
147,199,41,No,Research & Development,3,Life Sciences,4,Male,2,4,Manager,1,17181,2,7,6,7
148,200,41,No,Research & Development,4,Life Sciences,3,Male,3,1,Laboratory Technician,1,2238,4,5,0,4
149,201,19,No,Research & Development,1,Medical,2,Female,3,1,Laboratory Technician,2,1483,4,1,0,0
150,202,40,No,Research & Development,3,Medical,2,Female,3,2,Research Scientist,2,5605,1,20,7,13
151,204,35,No,Sales,5,Marketing,3,Male,3,3,Sales Executive,2,7295,1,10,8,6
152,205,53,No,Sales,2,Marketing,2,Male,3,2,Sales Representative,3,2306,4,7,7,5
153,206,45,No,Research & Development,3,Life Sciences,2,Male,3,2,Laboratory Technician,2,2348,3,17,9,15
154,207,32,No,Sales,3,Marketing,2,Female,3,3,Sales Executive,4,8998,4,9,8,7
155,208,29,No,Research & Development,1,Technical Degree,4,Male,3,2,Manufacturing Director,3,4319,1,10,7,9
156,211,51,No,Research & Development,4,Medical,2,Male,2,2,Manufacturing Director,3,6132,3,1,0,0
157,214,58,No,Research & Development,3,Medical,2,Female,2,1,Research Scientist,2,3346,2,1,0,0
158,215,40,No,Sales,4,Marketing,3,Male,2,3,Sales Executive,4,10855,1,12,11,11
159,216,34,No,Sales,4,Marketing,3,Female,3,1,Sales Representative,3,2231,4,4,3,2
160,217,22,No,Research & Development,1,Medical,3,Male,3,1,Research Scientist,4,2323,1,2,2,2
161,218,27,No,Research & Development,3,Medical,4,Male,3,1,Research Scientist,2,2024,4,2,2,2
162,221,28,No,Research & Development,3,Medical,3,Male,3,1,Research Scientist,4,2713,3,5,2,2
163,223,57,No,Research & Development,2,Life Sciences,3,Male,4,3,Healthcare Representative,4,9439,2,5,3,4
164,224,27,No,Research & Development,3,Medical,3,Male,2,1,Research Scientist,3,2566,4,1,1,1
165,226,50,No,Research & Development,3,Life Sciences,3,Female,3,5,Manager,2,19926,2,5,4,4
166,227,41,No,Research & Development,3,Life Sciences,1,Male,3,1,Research Scientist,3,2451,1,9,8,8
167,228,30,No,Sales,3,Life Sciences,2,Female,3,3,Sales Executive,4,9419,3,10,9,4
168,230,38,No,Sales,4,Life Sciences,1,Female,2,2,Sales Executive,4,8686,3,8,3,7
169,231,32,No,Research & Development,5,Life Sciences,3,Male,3,1,Research Scientist,3,3038,1,5,4,4
170,233,27,No,Research & Development,3,Technical Degree,3,Male,3,1,Research Scientist,2,3058,4,5,2,1
171,235,19,Yes,Sales,1,Technical Degree,3,Female,1,1,Sales Representative,1,2325,1,0,0,0
172,238,36,No,Research & Development,2,Medical,4,Male,3,1,Laboratory Technician,2,2088,3,8,7,2
173,239,30,No,Research & Development,3,Medical,3,Male,3,2,Laboratory Technician,1,3072,3,12,9,10
174,240,45,No,Sales,2,Life Sciences,3,Female,3,2,Sales Executive,1,5006,1,5,4,3
175,241,56,No,Research & Development,3,Life Sciences,3,Female,3,1,Research Scientist,1,4257,3,2,2,2
176,242,33,No,Research & Development,3,Life Sciences,3,Male,3,1,Research Scientist,4,2500,1,3,1,2
177,243,19,Yes,Research & Development,3,Life Sciences,2,Male,2,1,Laboratory Technician,4,1102,3,1,0,0
178,244,46,No,Sales,2,Marketing,2,Female,3,3,Sales Executive,1,10453,3,24,13,7
179,245,38,No,Research & Development,2,Life Sciences,3,Female,3,1,Laboratory Technician,4,2288,3,2,2,1
180,246,31,No,Research & Development,1,Medical,3,Female,3,1,Research Scientist,4,3929,3,4,2,2
181,247,34,No,Research & Development,2,Medical,4,Female,3,1,Research Scientist,2,2311,4,3,2,2
182,248,41,Yes,Sales,2,Marketing,2,Female,3,1,Sales Representative,2,3140,4,4,3,2
183,249,50,No,Research & Development,3,Medical,3,Male,2,1,Laboratory Technician,3,3690,4,3,2,2
184,250,53,No,Research & Development,2,Medical,4,Female,4,2,Manufacturing Director,1,4450,3,4,2,3
185,252,33,No,Research & Development,3,Medical,4,Female,3,1,Research Scientist,2,2756,4,8,7,6
186,253,40,No,Research & Development,1,Medical,4,Female,3,5,Manager,3,19033,2,20,8,9
187,254,55,No,Research & Development,4,Medical,3,Male,4,5,Research Director,2,18722,4,24,15,15
188,256,34,No,Research & Development,1,Life Sciences,4,Male,2,2,Manufacturing Director,3,9547,3,10,9,9
189,258,51,No,Research & Development,3,Medical,4,Female,3,4,Healthcare Representative,2,13734,3,7,7,0
190,259,52,No,Research & Development,4,Life Sciences,3,Male,2,5,Manager,3,19999,1,33,18,9
191,260,27,No,Research & Development,3,Medical,4,Female,3,1,Research Scientist,2,2279,4,7,7,3
192,261,35,Yes,Research & Development,2,Life Sciences,2,Male,2,2,Manufacturing Director,3,5916,1,1,0,1
193,262,43,No,Research & Development,3,Medical,4,Male,4,1,Research Scientist,4,2089,4,5,4,2
194,264,45,No,Research & Development,2,Medical,1,Male,2,4,Manager,4,16792,4,20,8,8
195,267,37,No,Research & Development,3,Life Sciences,2,Male,4,1,Research Scientist,1,3564,1,8,7,7
196,269,35,No,Research & Development,3,Medical,2,Female,3,2,Laboratory Technician,2,4425,4,6,2,2
197,270,42,No,Research & Development,2,Medical,3,Female,3,2,Manufacturing Director,3,5265,2,5,3,2
198,271,38,No,Research & Development,4,Life Sciences,4,Male,3,2,Manufacturing Director,3,6553,2,1,0,0
199,273,38,No,Research & Development,3,Technical Degree,4,Male,3,2,Manufacturing Director,4,6261,1,7,7,7
200,274,27,No,Research & Development,1,Technical Degree,3,Male,2,2,Manufacturing Director,1,4298,3,2,2,0
201,275,49,No,Research & Development,4,Life Sciences,4,Male,3,2,Manufacturing Director,4,6804,1,7,7,7
202,277,34,No,Research & Development,4,Medical,4,Male,3,1,Research Scientist,3,3815,4,5,3,0
203,281,40,No,Research & Development,2,Medical,3,Male,3,2,Laboratory Technician,4,2741,3,7,2,7
204,282,38,Yes,Research & Development,1,Medical,2,Male,3,2,Healthcare Representative,1,6673,2,1,0,0
205,283,29,Yes,Sales,3,Marketing,2,Female,3,3,Sales Executive,4,7639,4,10,4,9
206,284,22,No,Research & Development,3,Life Sciences,4,Male,4,1,Research Scientist,2,2328,1,4,2,2
207,286,36,No,Research & Development,1,Medical,2,Female,3,1,Laboratory Technician,4,2153,1,8,1,7
208,287,40,No,Research & Development,5,Life Sciences,4,Male,2,2,Healthcare Representative,4,4876,4,3,2,2
209,288,46,No,Research & Development,4,Medical,4,Male,3,3,Healthcare Representative,1,9396,3,4,2,3
210,291,32,Yes,Sales,4,Medical,4,Male,1,3,Sales Executive,4,10400,3,14,8,8
211,292,30,No,Research & Development,1,Life Sciences,3,Male,2,3,Manufacturing Director,3,8474,3,11,8,8
212,293,27,No,Sales,3,Life Sciences,4,Female,3,2,Sales Executive,3,9981,4,7,7,7
213,296,51,No,Research & Development,4,Life Sciences,2,Male,2,3,Research Director,2,12490,4,10,9,7
214,297,30,Yes,Research & Development,3,Technical Degree,4,Female,3,1,Research Scientist,1,2657,3,5,2,4
215,298,41,No,Sales,3,Life Sciences,4,Female,3,3,Manager,4,13591,3,1,0,0
216,299,30,Yes,Sales,4,Marketing,3,Female,2,2,Sales Executive,1,6696,3,6,3,1
217,300,29,Yes,Research & Development,3,Technical Degree,3,Male,3,1,Research Scientist,3,2058,4,6,2,5
218,302,45,No,Sales,3,Medical,4,Female,2,3,Sales Executive,4,8865,4,19,7,8
219,303,54,No,Sales,3,Marketing,4,Female,3,2,Sales Executive,1,5940,4,6,2,5
220,304,36,No,Research & Development,2,Life Sciences,4,Male,3,2,Laboratory Technician,2,5914,4,13,11,7
221,305,33,No,Research & Development,4,Medical,3,Female,2,1,Research Scientist,2,2622,4,3,2,1
222,306,37,No,Research & Development,3,Other,2,Male,3,3,Research Director,4,12185,3,10,8,7
223,307,38,No,Sales,3,Life Sciences,1,Male,3,3,Sales Executive,3,10609,3,16,10,13
224,308,31,No,Research & Development,4,Medical,3,Male,1,2,Manufacturing Director,3,4345,4,5,4,4
225,309,59,No,Research & Development,3,Life Sciences,3,Male,2,1,Research Scientist,4,2177,1,1,0,0
226,311,37,No,Sales,4,Marketing,1,Male,3,1,Sales Representative,4,2793,3,9,8,8
227,312,29,No,Sales,1,Medical,2,Female,3,3,Sales Executive,4,7918,4,11,10,1
228,314,35,No,Sales,3,Marketing,3,Female,3,3,Sales Executive,3,8789,1,10,7,8
229,315,29,Yes,Research & Development,1,Medical,3,Male,2,1,Research Scientist,4,2389,3,4,3,1
230,316,52,No,Research & Development,3,Life Sciences,3,Female,2,1,Laboratory Technician,4,3212,2,2,2,2
231,319,42,No,Research & Development,2,Technical Degree,3,Male,3,5,Manager,4,19232,4,22,17,15
232,321,59,No,Human Resources,2,Medical,2,Male,3,1,Human Resources,3,2267,4,2,2,2
233,323,50,No,Sales,4,Medical,4,Female,3,5,Manager,4,19517,3,7,0,6
234,325,33,Yes,Research & Development,3,Medical,3,Male,3,1,Laboratory Technician,4,2436,3,5,4,4
235,327,43,No,Sales,3,Marketing,4,Female,3,4,Manager,4,16064,3,17,13,9
236,328,33,Yes,Research & Development,2,Life Sciences,1,Female,3,1,Laboratory Technician,1,2707,1,9,7,7
237,329,52,No,Sales,4,Life Sciences,1,Male,2,5,Manager,3,19068,4,33,7,12
238,330,32,No,Sales,2,Life Sciences,3,Female,3,1,Sales Representative,2,3931,1,4,3,2
239,331,32,Yes,Research & Development,3,Life Sciences,4,Male,2,1,Laboratory Technician,3,3730,4,3,2,2
240,332,39,No,Research & Development,4,Medical,3,Female,3,1,Laboratory Technician,3,2232,3,3,2,2
241,333,32,No,Sales,4,Marketing,3,Male,3,2,Sales Executive,4,4465,1,3,2,2
242,334,41,No,Research & Development,2,Life Sciences,3,Male,3,2,Research Scientist,1,3072,1,1,0,0
243,335,40,No,Research & Development,2,Technical Degree,1,Male,3,2,Research Scientist,4,3319,1,9,8,7
244,336,45,No,Research & Development,3,Other,3,Male,4,5,Manager,4,19202,3,24,0,7
245,337,31,No,Research & Development,4,Medical,2,Male,3,3,Research Director,3,13675,1,2,2,2
246,338,33,No,Research & Development,4,Life Sciences,3,Female,2,1,Research Scientist,4,2911,3,2,2,2
247,339,34,No,Research & Development,4,Life Sciences,4,Male,2,2,Manufacturing Director,1,5957,2,11,9,9
248,340,37,No,Research & Development,2,Medical,3,Female,2,1,Research Scientist,1,3920,1,3,1,2
249,341,45,No,Research & Development,4,Life Sciences,1,Male,4,2,Manufacturing Director,3,6434,4,3,2,2
250,342,37,Yes,Research & Development,3,Medical,1,Male,3,3,Manufacturing Director,3,10048,2,1,0,0
251,343,39,No,Research & Development,4,Technical Degree,3,Female,3,3,Healthcare Representative,3,10938,4,19,6,8
252,346,29,No,Research & Development,3,Life Sciences,3,Male,3,1,Research Scientist,4,2340,1,6,5,5
253,347,42,No,Research & Development,2,Life Sciences,4,Female,4,2,Research Scientist,1,6545,3,3,2,2
254,349,29,No,Sales,2,Marketing,4,Male,3,2,Sales Executive,4,6931,4,3,2,2
255,350,25,No,Research & Development,3,Life Sciences,1,Female,3,2,Manufacturing Director,3,4898,4,4,2,2
256,351,42,No,Research & Development,3,Medical,4,Female,2,1,Laboratory Technician,1,2593,3,9,6,8
257,352,40,No,Research & Development,2,Medical,1,Male,3,5,Research Director,3,19436,4,21,7,9
258,353,51,No,Research & Development,3,Life Sciences,3,Male,3,1,Research Scientist,4,2723,2,1,0,0
259,355,31,Yes,Research & Development,2,Medical,3,Male,2,1,Laboratory Technician,2,3479,2,5,4,4
260,359,32,No,Research & Development,3,Life Sciences,2,Male,4,1,Laboratory Technician,2,2794,3,5,1,3
261,361,38,No,Sales,2,Life Sciences,4,Male,2,2,Sales Executive,4,5249,4,8,7,5
262,362,32,No,Research & Development,1,Technical Degree,4,Male,2,2,Laboratory Technician,1,2176,4,6,2,4
263,363,46,No,Sales,3,Technical Degree,3,Female,1,4,Manager,2,16872,2,7,7,7
264,364,28,Yes,Research & Development,4,Life Sciences,1,Male,3,1,Laboratory Technician,3,3485,3,0,0,0
265,366,29,No,Sales,3,Medical,1,Male,2,2,Sales Executive,2,6644,2,0,0,0
266,367,31,No,Research & Development,3,Medical,2,Male,2,2,Healthcare Representative,4,5582,2,9,0,8
267,369,25,No,Research & Development,2,Life Sciences,2,Male,4,2,Healthcare Representative,1,4000,4,6,3,5
268,372,45,No,Research & Development,2,Medical,3,Male,3,4,Healthcare Representative,4,13496,2,20,7,10
269,373,36,No,Research & Development,3,Life Sciences,4,Male,3,1,Laboratory Technician,4,3210,3,15,13,11
